Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Aron Baynes,DET,81,1,4.1,$6500000.0,0.10459183673469385,$7025254.4
Tobias Harris,DET,25,3.3,$16000000.0,0.08418367346938774,$5654473.06
Anthony Tolliver,DET,72,5,2.8,$3000000.0,0.07142857142857142,$4797734.71
Reggie Bullock,DET,0,1.2,$1252440.0,0.03061224489795918,$2056172.02
Steve Blake,DET,58,2,1.1,$2170465.0,0.02806122448979592,$1884824.35
Stanley Johnson,DET,73,6,0.6,$2841960.0,0.01530612244897959,$1028086.01
Darrun Hilliard,DET,2,0.5,$525093.0,0.012755102040816325,$856738.34
Joel Anthony,DET,0,0.4,$2500000.0,0.01020408163265306,$685390.67
Spencer Dinwiddie,DET,0,0.1,$845059.0,0.002551020408163265,$171347.67
Jodie Meeks,DET,0,0.1,$6270000.0,0.002551020408163265,$171347.67
Justin Harper,DET,0,0.0,$99418.0,0.0,$0.0
Stephen Curry,GSW,79,79,17.9,$11370786.0,0.2640117994100295,$24739805.7
Draymond Green,GSW,81,81,11.1,$14300000.0,0.16371681415929204,$15341443.76
Klay Thompson,GSW,80,80,8.0,$15500000.0,0.11799410029498525,$11056896.4
Andrew Bogut,GSW,70,66,5.4,$12000000.0,0.07964601769911506,$7463405.07
Harrison Barnes,GSW,66,59,4.9,$3873398.0,0.07227138643067847,$6772349.05
Shaun Livingston,GSW,78,3,4.6,$5543725.0,0.06784660766961652,$6357715.43
Andre Iguodala,GSW,65,1,4.4,$11710456.0,0.0648967551622419,$6081293.02
Festus Ezeli,GSW,13,2.7,$2008748.0,0.03982300884955753,$3731702.54
Leandro Barbosa,GSW,68,0,2.1,$2500000.0,0.03097345132743363,$2902435.31
Brandon Rush,GSW,72,25,2.0,$1270964.0,0.029498525073746312,$2764224.1
Marreese Speights,GSW,72,0,1.8,$3815000.0,0.026548672566371685,$2487801.69
Ian Clark,GSW,66,1,0.9,$947276.0,0.013274336283185842,$1243900.85
James Michael McAdoo,GSW,1,0.8,$845059.0,0.011799410029498527,$1105689.64
Jason Thompson,GSW,1,0.6,$6431250.0,0.008849557522123894,$829267.23
Anderson Varejao,GSW,0,0.5,$458575.0,0.007374631268436578,$691056.03
Kevon Looney,GSW,0,0.1,$1131960.0,0.0014749262536873158,$138211.21
James Harden,HOU,82,82,13.3,$15756438.0,0.31666666666666676,$28559663.8
Dwight Howard,HOU,71,71,6.6,$22359364.0,0.15714285714285717,$14172464.74
Trevor Ariza,HOU,81,81,5.4,$8193030.0,0.12857142857142861,$11595652.97
Patrick Beverley,HOU,71,63,4.4,$6500000.0,0.10476190476190479,$9448309.83
Clint Capela,HOU,77,35,4.4,$1242720.0,0.10476190476190479,$9448309.83
