Rk,Player,From,To,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS,salary,WS%,expected_salary,salary_diff
5,Doug McDermott,,,CHI,NBA,81,4,1861,291,644,181,385,110,259,72,84,37,158,195,59,14,6,53,127,764,.452,.470,.425,.537,.857,.561,2.8,$2380440.0,0.07506702412868632,$6409665.27,$4029225.27
6,E'Twaun Moore,,,CHI,NBA,59,22,1263,187,389,140,285,47,104,22,35,19,114,133,99,37,18,53,103,443,.481,.491,.452,.541,.629,.548,1.8,$1015421.0,0.0482573726541555,$4120499.1,$3105078.1
7,Bobby Portis,,,CHI,NBA,62,4,1102,186,436,170,384,16,52,48,66,123,214,337,52,25,22,54,100,436,.427,.443,.308,.445,.727,.469,1.5,$1391160.0,0.04021447721179625,$3433749.25,$2042589.25
8,Cristiano Felicio,,,CHI,NBA,31,4,321,40,72,40,68,0,4,25,35,30,72,102,26,6,13,13,31,105,.556,.588,.000,.556,.714,.601,1.2,$525090.0,0.032171581769437,$2746999.4,$2221909.4
9,Joakim Noah,,,CHI,NBA,29,2,635,51,133,51,132,0,1,22,45,87,168,255,110,18,29,52,77,124,.383,.386,.000,.383,.489,.406,1.1,$13400000.0,0.02949061662198392,$2518082.78,$-10881917.22
10,Aaron Brooks,,,CHI,NBA,69,0,1108,188,469,122,284,66,185,49,64,21,80,101,180,30,10,82,132,491,.401,.430,.357,.471,.766,.494,0.9,$2000000.0,0.02412868632707775,$2060249.55,$60249.55
11,Mike Dunleavy,,,CHI,NBA,31,30,703,77,188,38,89,39,99,29,37,8,75,83,39,14,10,26,66,222,.410,.427,.394,.513,.784,.543,0.9,$4500000.0,0.02412868632707775,$2060249.55,$-2439750.45
12,Justin Holiday,,,CHI,NBA,27,4,510,64,155,38,95,26,60,22,27,8,55,63,45,19,15,26,40,176,.413,.400,.433,.497,.815,.527,0.8,$947300.0,0.02144772117962467,$1831332.93,$884032.93
14,Derrick Rose,,,CHI,NBA,66,66,2097,447,1048,403,898,44,150,142,179,46,179,225,311,44,14,175,84,1080,.427,.449,.293,.448,.793,.479,0.4,$20093063.0,0.010723860589812334,$915666.47,$-19177396.53
15,Tony Snell,,,CHI,NBA,64,33,1301,126,339,70,184,56,155,30,33,19,180,199,63,16,17,52,100,338,.372,.380,.361,.454,.909,.478,0.4,$1535880.0,0.010723860589812334,$915666.47,$-620213.53
16,Cameron Bairstow,,,CHI,NBA,18,2,103,13,40,12,35,1,5,7,8,4,24,28,6,2,3,4,19,34,.325,.343,.200,.338,.875,.391,0.0,$845059.0,0.0,$0.0,$-845059.0
1,LeBron James,,,CLE,NBA,76,76,2709,737,1416,650,1134,87,282,359,491,111,454,565,514,104,49,249,143,1920,.520,.573,.309,.551,.731,.588,13.6,$22971000.0,0.23652173913043473,$25055133.83,$2084133.83
2,Tristan Thompson,,,CLE,NBA,82,34,2269,247,420,247,420,0,0,149,242,268,470,738,62,38,51,61,202,643,.588,.588,,.588,.616,.611,8.7,$14260870.0,0.1513043478260869,$16027916.49,$1767046.49
3,Kevin Love,,,CLE,NBA,77,77,2424,409,977,251,538,158,439,258,314,149,613,762,186,58,41,142,159,1234,.419,.467,.360,.499,.822,.553,8.5,$19500000.0,0.1478260869565217,$15659458.64,$-3840541.36
4,J.R. Smith,,,CLE,NBA,77,77,2362,353,850,149,340,204,510,45,71,43,174,217,130,81,21,59,204,955,.415,.438,.400,.535,.634,.542,5.5,$5000000.0,0.09565217391304345,$10132590.89,$5132590.89
5,Kyrie Irving,,,CLE,NBA,53,53,1667,394,879,310,617,84,262,169,191,44,113,157,249,56,18,124,107,1041,.448,.502,.321,.496,.885,.540,5.0,$14746000.0,0.08695652173913042,$9211446.26,$-5534553.74
6,Matthew Dellavedova,,,CLE,NBA,76,14,1867,207,511,109,272,98,239,57,66,33,129,162,337,44,9,116,178,569,.405,.401,.410,.501,.864,.527,3.8,$1147280.0,0.06608695652173911,$7000699.16,$5853419.16
7,Timofey Mozgov,,,CLE,NBA,76,48,1326,203,359,202,352,1,7,68,95,110,227,337,33,22,57,71,159,475,.565,.574,.143,.567,.716,.593,3.7,$4950000.0,0.06434782608695651,$6816470.23,$1866470.23
8,Richard Jefferson,,,CLE,NBA,74,5,1326,143,312,77,139,66,173,58,87,15,113,128,59,33,14,43,129,410,.458,.554,.382,.564,.667,.585,2.7,$1499000.0,0.046956521739130425,$4974180.98,$3475180.98
9,Iman Shumpert,,,CLE,NBA,54,5,1316,114,305,71,159,43,146,40,51,32,171,203,92,54,19,57,119,311,.374,.447,.295,.444,.784,.475,1.7,$9000000.0,0.02956521739130434,$3131891.73,$-5868108.27
10,Channing Frye,,,CLE,NBA,26,3,446,71,161,28,47,43,114,11,14,12,81,93,26,8,8,13,56,196,.441,.596,.377,.575,.786,.586,1.5,$7807579.0,0.026086956521739126,$2763433.88,$-5044145.12
11,James Jones,,,CLE,NBA,48,0,463,58,142,17,38,41,104,21,26,8,42,50,14,11,10,13,50,178,.408,.447,.394,.553,.808,.580,1.2,$1499000.0,0.0208695652173913,$2210747.1,$711747.1
12,Mo Williams,,,CLE,NBA,41,14,748,132,302,96,200,36,102,38,42,6,66,72,98,14,5,57,60,338,.437,.480,.353,.497,.905,.527,1.1,$2100000.0,0.01913043478260869,$2026518.18,$-73481.82
14,Sasha Kaun,,,CLE,NBA,25,0,95,9,17,9,17,0,0,5,11,12,14,26,3,4,5,7,11,23,.529,.529,,.529,.455,.527,0.2,$1300000.0,0.0034782608695652167,$368457.85,$-931542.15
15,Jordan McRae,,,CLE,NBA,15,1,113,23,52,16,41,7,11,9,13,2,10,12,15,0,1,9,10,62,.442,.390,.636,.510,.692,.537,0.2,$142084.0,0.0034782608695652167,$368457.85,$226373.85
17,Dahntay Jones,,,CLE,NBA,1,0,42,6,14,5,12,1,2,0,0,1,4,5,2,1,2,0,6,13,.429,.417,.500,.464,,.464,0.1,$8819.0,0.0017391304347826083,$184228.93,$175409.93
1,Dirk Nowitzki,,,DAL,NBA,75,75,2364,498,1112,372,770,126,342,250,280,52,437,489,132,52,52,84,161,1372,.448,.483,.368,.504,.893,.555,6.8,$8333334.0,0.16190476190476188,$11590806.59,$3257472.59
2,Zaza Pachulia,,,DAL,NBA,76,69,2004,219,470,219,467,0,3,212,276,249,469,718,128,64,22,119,181,650,.466,.469,.000,.466,.768,.550,6.0,$5200000.0,0.14285714285714282,$10227182.29,$5027182.29
3,Chandler Parsons,,,DAL,NBA,61,51,1799,320,651,216,400,104,251,93,136,29,256,285,169,46,21,95,114,837,.492,.540,.414,.571,.684,.589,4.3,$15361500.0,0.10238095238095236,$7329480.64,$-8032019.36
4,Wesley Matthews,,,DAL,NBA,78,78,2644,331,854,142,329,189,525,126,146,27,211,238,151,78,17,78,179,977,.388,.432,.360,.498,.863,.532,3.7,$16400000.0,0.08809523809523809,$6306762.41,$-10093237.59
5,Deron Williams,,,DAL,NBA,65,63,2106,321,775,224,493,97,282,179,206,19,171,190,378,61,14,150,155,918,.414,.454,.344,.477,.869,.530,3.7,$5500000.0,0.08809523809523809,$6306762.41,$806762.41
6,Dwight Powell,,,DAL,NBA,69,2,992,146,296,144,280,2,16,105,142,84,189,273,44,36,24,40,118,399,.493,.514,.125,.497,.739,.557,3.1,$845059.0,0.0738095238095238,$5284044.18,$4438985.18
7,J.J. Barea,,,DAL,NBA,74,16,1667,317,711,217,451,100,260,74,96,26,126,152,302,26,2,113,110,808,.446,.481,.385,.516,.771,.536,2.8,$4000000.0,0.06666666666666665,$4772685.07,$772685.07
8,Raymond Felton,,,DAL,NBA,80,31,2192,277,682,217,469,60,213,149,176,36,222,258,284,68,15,121,141,763,.406,.463,.282,.450,.847,.502,2.7,$3950313.0,0.06428571428571428,$4602232.03,$651919.03
9,Devin Harris,,,DAL,NBA,64,0,1280,167,374,115,216,52,158,101,140,18,120,138,118,60,13,66,124,487,.447,.532,.329,.516,.721,.559,2.5,$4053000.0,0.059523809523809514,$4261325.95,$208325.95
10,David Lee,,,DAL,NBA,25,1,433,91,143,91,143,0,0,31,42,60,115,175,30,10,15,28,63,213,.636,.636,,.636,.738,.660,2.1,$2102224.0,0.049999999999999996,$3579513.8,$1477289.8
11,Salah Mejri,,,DAL,NBA,34,6,397,49,78,49,77,0,1,27,46,41,82,123,10,8,36,23,54,125,.628,.636,.000,.628,.587,.636,1.3,$525093.0,0.030952380952380946,$2215889.5,$1690796.5
12,Justin Anderson,,,DAL,NBA,55,9,647,71,175,49,92,22,83,44,55,18,114,132,29,19,25,24,45,208,.406,.533,.265,.469,.800,.522,1.1,$1449000.0,0.026190476190476188,$1874983.42,$425983.42
13,JaVale McGee,,,DAL,NBA,34,2,370,77,134,77,133,0,1,18,36,53,80,133,3,5,26,21,49,172,.575,.579,.000,.575,.500,.574,1.1,$1270964.0,0.026190476190476188,$1874983.42,$604019.42
14,Jeremy Evans,,,DAL,NBA,30,2,251,26,48,22,32,4,16,15,21,11,43,54,2,6,9,7,19,71,.542,.688,.250,.583,.714,.620,0.6,$1100602.0,0.014285714285714284,$1022718.23,$-77883.77
15,Charlie Villanueva,,,DAL,NBA,62,4,665,125,327,78,155,47,172,22,24,24,128,152,24,18,15,31,71,319,.382,.503,.273,.454,.917,.473,0.2,$1499187.0,0.0047619047619047615,$340906.08,$-1158280.92
1,Nikola Jokic,,,DEN,NBA,80,55,1733,307,600,279,516,28,84,154,190,181,379,560,189,79,50,104,208,796,.512,.541,.333,.535,.811,.582,6.7,$1300000.0,0.19940476190476195,$11253227.88,$9953227.88
2,Danilo Gallinari,,,DEN,NBA,53,53,1839,287,700,200,461,87,239,375,432,52,229,281,135,42,19,77,87,1036,.410,.434,.364,.472,.868,.582,6.3,$14000000.0,0.18750000000000003,$10581393.38,$-3418606.62
3,Kenneth Faried,,,DEN,NBA,67,64,1694,349,626,348,624,1,2,136,222,235,346,581,79,32,60,91,169,835,.558,.558,.500,.558,.613,.577,5.5,$11235955.0,0.16369047619047622,$9237724.38,$-1998230.62
4,Will Barton,,,DEN,NBA,82,1,2353,425,983,313,658,112,325,216,268,59,417,476,203,71,39,139,147,1178,.432,.476,.345,.489,.806,.535,4.3,$3333333.0,0.1279761904761905,$7222220.88,$3888887.88
5,Gary Harris,,,DEN,NBA,76,76,2439,359,765,254,468,105,297,109,133,54,166,220,147,97,18,98,143,932,.469,.543,.354,.538,.820,.566,4.0,$1587480.0,0.11904761904761907,$6718345.0,$5130865.0
6,Darrell Arthur,,,DEN,NBA,70,16,1516,221,489,176,372,45,117,40,53,86,207,293,96,53,48,66,185,527,.452,.473,.385,.498,.755,.514,2.3,$2814000.0,0.06845238095238096,$3863048.38,$1049048.38
7,Joffrey Lauvergne,,,DEN,NBA,59,15,1041,195,380,182,327,13,53,62,69,77,213,290,56,13,15,54,115,465,.513,.557,.245,.530,.899,.567,2.3,$1709720.0,0.06845238095238096,$3863048.38,$2153328.38
8,D.J. Augustin,,,DEN,NBA,28,0,659,102,229,58,122,44,107,77,94,3,49,52,132,25,2,54,44,325,.445,.475,.411,.541,.819,.601,1.9,$3000000.0,0.056547619047619055,$3191213.88,$191213.88
9,J.J. Hickson,,,DEN,NBA,20,9,305,55,109,55,109,0,0,27,59,22,65,87,16,10,12,16,35,137,.505,.505,,.505,.458,.508,0.5,$5613500.0,0.014880952380952384,$839793.13,$-4773706.88
10,Jameer Nelson,,,DEN,NBA,39,15,1036,113,307,70,163,43,144,30,35,19,96,115,190,25,5,66,100,299,.368,.429,.299,.438,.857,.464,0.5,$4500000.0,0.014880952380952384,$839793.13,$-3660206.88
11,Jusuf Nurkic,,,DEN,NBA,32,3,547,101,242,101,239,0,3,61,99,65,110,175,40,24,44,55,91,263,.417,.423,.000,.417,.616,.460,0.4,$1842000.0,0.011904761904761908,$671834.5,$-1170165.5
12,JaKarr Sampson,,,DEN,NBA,26,22,469,54,115,46,86,8,29,18,25,16,45,61,16,12,17,19,51,134,.470,.535,.276,.504,.720,.532,0.4,$285489.0,0.011904761904761908,$671834.5,$386345.5
